x	y	clickSelects	xmin	xmax	ymin	ymax
40330	24	40350,0	40305	40355	-1	49
40380	24	40400,0	40355	40405	-1	49
40380	74	40400,50	40355	40405	49	99
40430	74	40450,50	40405	40455	49	99
40430	124	40450,100	40405	40455	99	149
40480	124	40500,100	40455	40505	99	149
40480	174	40500,150	40455	40505	149	199
40530	174	40550,150	40505	40555	149	199
40530	224	40550,200	40505	40555	199	249
40580	224	40600,200	40555	40605	199	249
40580	274	40600,250	40555	40605	249	299
40630	274	40650,250	40605	40655	249	299
40630	324	40650,300	40605	40655	299	349
40680	324	40700,300	40655	40705	299	349
40680	374	40700,350	40655	40705	349	399
40730	374	40750,350	40705	40755	349	399
40730	424	40750,400	40705	40755	399	449
40780	424	40800,400	40755	40805	399	449
40780	474	40800,450	40755	40805	449	499
40830	474	40850,450	40805	40855	449	499
40830	524	40850,500	40805	40855	499	549
40880	524	40900,500	40855	40905	499	549
40880	574	40900,550	40855	40905	549	599
40930	574	40950,550	40905	40955	549	599
40930	624	40950,600	40905	40955	599	649
40980	624	41000,600	40955	41005	599	649
40980	674	41000,650	40955	41005	649	699
41030	674	41050,650	41005	41055	649	699
41030	724	41050,700	41005	41055	699	749
41080	724	41100,700	41055	41105	699	749
41080	774	41100,750	41055	41105	749	799
41130	774	41150,750	41105	41155	749	799
41130	824	41150,800	41105	41155	799	849
41180	824	41200,800	41155	41205	799	849
41180	874	41200,850	41155	41205	849	899
41230	874	41250,850	41205	41255	849	899
41230	924	41250,900	41205	41255	899	949
41280	924	41300,900	41255	41305	899	949
41280	974	41300,950	41255	41305	949	999
41330	974	41350,950	41305	41355	949	999
41330	1024	41350,1000	41305	41355	999	1049
40430	24	40450,0	40405	40455	-1	49
40480	74	40500,50	40455	40505	49	99
40530	124	40550,100	40505	40555	99	149
40580	174	40600,150	40555	40605	149	199
40630	224	40650,200	40605	40655	199	249
40680	274	40700,250	40655	40705	249	299
40730	324	40750,300	40705	40755	299	349
40780	374	40800,350	40755	40805	349	399
40830	424	40850,400	40805	40855	399	449
40880	474	40900,450	40855	40905	449	499
40930	524	40950,500	40905	40955	499	549
40980	574	41000,550	40955	41005	549	599
41030	624	41050,600	41005	41055	599	649
41080	674	41100,650	41055	41105	649	699
41130	724	41150,700	41105	41155	699	749
41180	774	41200,750	41155	41205	749	799
41230	824	41250,800	41205	41255	799	849
41280	874	41300,850	41255	41305	849	899
41330	924	41350,900	41305	41355	899	949
41380	974	41400,950	41355	41405	949	999
40480	24	40500,0	40455	40505	-1	49
40580	124	40600,100	40555	40605	99	149
40680	224	40700,200	40655	40705	199	249
40780	324	40800,300	40755	40805	299	349
40880	424	40900,400	40855	40905	399	449
40980	524	41000,500	40955	41005	499	549
41080	624	41100,600	41055	41105	599	649
41180	724	41200,700	41155	41205	699	749
41280	824	41300,800	41255	41305	799	849
41380	924	41400,900	41355	41405	899	949
40530	74	40550,50	40505	40555	49	99
40630	174	40650,150	40605	40655	149	199
40730	274	40750,250	40705	40755	249	299
40830	374	40850,350	40805	40855	349	399
40930	474	40950,450	40905	40955	449	499
41030	574	41050,550	41005	41055	549	599
41130	674	41150,650	41105	41155	649	699
41230	774	41250,750	41205	41255	749	799
41330	874	41350,850	41305	41355	849	899
40530	24	40550,0	40505	40555	-1	49
40580	74	40600,50	40555	40605	49	99
40630	124	40650,100	40605	40655	99	149
40680	174	40700,150	40655	40705	149	199
40730	224	40750,200	40705	40755	199	249
40780	274	40800,250	40755	40805	249	299
40830	324	40850,300	40805	40855	299	349
40880	374	40900,350	40855	40905	349	399
40930	424	40950,400	40905	40955	399	449
40980	474	41000,450	40955	41005	449	499
41030	524	41050,500	41005	41055	499	549
41080	574	41100,550	41055	41105	549	599
41130	624	41150,600	41105	41155	599	649
41180	674	41200,650	41155	41205	649	699
41230	724	41250,700	41205	41255	699	749
41280	774	41300,750	41255	41305	749	799
41330	824	41350,800	41305	41355	799	849
41380	874	41400,850	41355	41405	849	899
41430	924	41450,900	41405	41455	899	949
40580	24	40600,0	40555	40605	-1	49
40680	124	40700,100	40655	40705	99	149
40780	224	40800,200	40755	40805	199	249
40880	324	40900,300	40855	40905	299	349
40980	424	41000,400	40955	41005	399	449
41080	524	41100,500	41055	41105	499	549
41180	624	41200,600	41155	41205	599	649
41280	724	41300,700	41255	41305	699	749
41380	824	41400,800	41355	41405	799	849
40630	74	40650,50	40605	40655	49	99
40730	174	40750,150	40705	40755	149	199
40830	274	40850,250	40805	40855	249	299
40930	374	40950,350	40905	40955	349	399
41030	474	41050,450	41005	41055	449	499
41130	574	41150,550	41105	41155	549	599
41230	674	41250,650	41205	41255	649	699
41330	774	41350,750	41305	41355	749	799
41430	874	41450,850	41405	41455	849	899
40630	24	40650,0	40605	40655	-1	49
40680	74	40700,50	40655	40705	49	99
40730	124	40750,100	40705	40755	99	149
40780	174	40800,150	40755	40805	149	199
40830	224	40850,200	40805	40855	199	249
40880	274	40900,250	40855	40905	249	299
40930	324	40950,300	40905	40955	299	349
40980	374	41000,350	40955	41005	349	399
41030	424	41050,400	41005	41055	399	449
41080	474	41100,450	41055	41105	449	499
41130	524	41150,500	41105	41155	499	549
41180	574	41200,550	41155	41205	549	599
41230	624	41250,600	41205	41255	599	649
41280	674	41300,650	41255	41305	649	699
41330	724	41350,700	41305	41355	699	749
41380	774	41400,750	41355	41405	749	799
41430	824	41450,800	41405	41455	799	849
41480	874	41500,850	41455	41505	849	899
40680	24	40700,0	40655	40705	-1	49
40780	124	40800,100	40755	40805	99	149
40880	224	40900,200	40855	40905	199	249
40980	324	41000,300	40955	41005	299	349
41080	424	41100,400	41055	41105	399	449
41180	524	41200,500	41155	41205	499	549
41280	624	41300,600	41255	41305	599	649
41380	724	41400,700	41355	41405	699	749
41480	824	41500,800	41455	41505	799	849
40730	74	40750,50	40705	40755	49	99
40830	174	40850,150	40805	40855	149	199
40930	274	40950,250	40905	40955	249	299
41030	374	41050,350	41005	41055	349	399
41130	474	41150,450	41105	41155	449	499
41230	574	41250,550	41205	41255	549	599
41330	674	41350,650	41305	41355	649	699
41430	774	41450,750	41405	41455	749	799
40730	24	40750,0	40705	40755	-1	49
40780	74	40800,50	40755	40805	49	99
40830	124	40850,100	40805	40855	99	149
40880	174	40900,150	40855	40905	149	199
40930	224	40950,200	40905	40955	199	249
40980	274	41000,250	40955	41005	249	299
41030	324	41050,300	41005	41055	299	349
41080	374	41100,350	41055	41105	349	399
41130	424	41150,400	41105	41155	399	449
41180	474	41200,450	41155	41205	449	499
41230	524	41250,500	41205	41255	499	549
41280	574	41300,550	41255	41305	549	599
41330	624	41350,600	41305	41355	599	649
