group	fill	clickSelects
2	#FFFEFE	89
3	#FFFEFE	89
4	#FBDEE7	1020
5	#FBDEE7	1020
6	#CD1076	1145
7	#CD1076	1145
8	#FBDEE7	1020
9	#FFFEFE	89
10	#FFFEFE	89
11	#FFFEFE	89
12	#FFFEFE	89
13	#FFFEFE	89
14	#FFFEFE	89
15	#FFFEFE	89
16	#FFFEFE	89
17	#FFFEFE	89
18	#FFFEFE	89
19	#FFFEFE	89
20	#FFFFFF	528
21	#FFFFFF	528
22	#FFFEFE	89
23	#FFFEFE	89
24	#FFFEFE	89
25	#FFFEFE	89
26	#FFFFFF	528
27	#FFFFFF	528
28	#FFFFFF	528
29	#FFFFFF	528
30	#FFFFFF	528
31	#FFFFFF	528
32	#FFFFFF	528
33	#FFFFFF	528
34	#FFFFFF	528
35	#FFFFFF	528
36	#FFFEFE	89
37	#FFFFFF	528
38	#FFFFFF	528
39	#FFFFFF	528
40	#FFFFFF	528
41	#FFFFFF	528
42	#FFFFFF	528
43	#FFFFFF	528
44	#FFFFFF	528
45	#FFFFFF	528
46	#FFFEFE	89
47	#FFFEFE	89
48	#FFFEFE	89
49	#FFFEFE	89
50	#FFFEFE	89
52	#FFFEFE	89
53	#FFFEFE	89
54	#FBDEE7	1020
55	#FBDEE7	1020
56	#CD1076	1145
57	#CD1076	1145
58	#FBDEE7	1020
59	#FBDEE7	1020
60	#FBDEE7	1020
61	#FFFEFE	89
62	#FFFEFE	89
63	#FFFEFE	89
64	#FFFEFE	89
65	#FFFEFE	89
66	#FFFEFE	89
67	#FFFEFE	89
68	#FFFEFE	89
69	#FFFEFE	89
70	#FFFFFF	528
71	#FFFFFF	528
72	#FFFEFE	89
73	#FFFEFE	89
74	#FFFEFE	89
75	#FFFEFE	89
76	#FFFEFE	89
77	#FFFEFE	89
78	#FFFFFF	528
79	#FFFFFF	528
80	#FFFFFF	528
81	#FFFFFF	528
82	#FFFFFF	528
83	#FFFFFF	528
84	#FFFFFF	528
85	#FFFFFF	528
86	#FFFEFE	89
87	#FFFFFF	528
88	#FFFFFF	528
89	#FFFFFF	528
90	#FFFFFF	528
91	#FFFFFF	528
92	#FFFFFF	528
93	#FFFFFF	528
94	#FFFFFF	528
95	#FFFFFF	528
96	#FFFFFF	528
97	#FFFEFE	89
98	#FFFEFE	89
99	#FFFEFE	89
100	#FFFEFE	89
101	#FFFEFE	89
103	#FFFEFE	89
104	#FFFEFE	89
105	#FBDEE7	1020
106	#CD1076	1145
107	#CD1076	1145
